VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 -2.486819e+00 1.000001e+00 9.999999e-01 1.000001e+00 1.000002e+00 1.195229e+00 2 0 9.600434e-08 -2.436972e-06 -8.034858e-07 -5.396142e-06 1.633486e-06
1.274018e-01 -2.237513e+00 1.000002e+00 9.999992e-01 9.999995e-01 1.000003e+00 1.195227e+00 2 0 -1.077209e-06 -2.525975e-06 -2.857688e-06 -5.283752e-06 -3.317122e-07
-1.154849e-01 -2.511322e+00 1.000001e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.054618e-07 -1.437439e-06 -1.019260e-06 -3.049035e-06 4.181793e-07
-1.225982e-01 -2.262017e+00 1.000001e+00 9.999995e-01 1.000000e+00 1.000002e+00 1.195228e+00 2 0 -9.949850e-07 -1.393410e-06 -3.084598e-06 -3.070996e-06 -1.691188e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 -2.237513e+00 1.000002e+00 9.999993e-01 9.999995e-01 1.000003e+00 1.195227e+00 2 0 -7.958023e-07 -4.686768e-06 -2.786123e-06 -7.160545e-06 1.900645e-06
1.250000e-01 -1.987748e+00 1.000004e+00 9.999980e-01 9.999978e-01 1.000005e+00 1.195225e+00 2 0 -2.529310e-06 -5.093638e-06 -5.127622e-06 -6.991802e-06 -3.398393e-08
-1.225982e-01 -2.262017e+00 1.000001e+00 9.999995e-01 1.000000e+00 1.000002e+00 1.195228e+00 2 0 -7.537073e-07 -3.072175e-06 -3.018378e-06 -4.822647e-06 5.379751e-08
-1.250000e-01 -2.012252e+00 1.000002e+00 9.999987e-01 9.999992e-01 1.000003e+00 1.195227e+00 2 0 -2.800017e-06 -2.915131e-06 -4.911296e-06 -5.021574e-06 -1.996165e-06
