VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-8.838834e-02 4.991329e+00 9.999998e-01 9.998635e-01 9.999855e-01 9.999997e-01 1.195138e+00 3 0 -3.564231e-05 4.191536e-04 2.443619e-05 4.621615e-05 -3.947174e-04
-1.039337e-01 5.239808e+00 9.999999e-01 9.999527e-01 9.999951e-01 9.999999e-01 1.195197e+00 3 0 -3.158874e-05 3.457375e-04 5.045213e-06 3.784231e-05 -3.406923e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 5.264309e+00 1.000000e+00 9.999569e-01 9.999978e-01 1.000000e+00 1.195202e+00 3 0 -9.502239e-06 1.383191e-04 8.755903e-06 8.446340e-06 -1.295632e-04
1.345151e-01 5.513181e+00 1.000000e+00 9.999860e-01 9.999992e-01 1.000000e+00 1.195220e+00 3 0 -9.409582e-06 1.117848e-04 2.197294e-06 5.530005e-06 -1.095875e-04
-1.039337e-01 5.239808e+00 9.999999e-01 9.999560e-01 9.999954e-01 9.999999e-01 1.195200e+00 3 0 -1.168958e-05 1.408692e-04 7.326135e-06 1.503664e-05 -1.335431e-04
-1.154849e-01 5.488678e+00 1.000000e+00 9.999856e-01 9.999986e-01 1.000000e+00 1.195219e+00 3 0 -1.029000e-05 1.138333e-04 1.295738e-06 1.213340e-05 -1.125376e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 5.513181e+00 1.000000e+00 9.999870e-01 9.999993e-01 1.000000e+00 1.195220e+00 3 0 -2.815978e-06 4.329112e-05 2.480045e-06 2.613209e-06 -4.081107e-05
1.274018e-01 5.762487e+00 1.000000e+00 9.999960e-01 9.999998e-01 1.000000e+00 1.195226e+00 3 0 -2.839591e-06 3.426596e-05 5.671694e-07 1.668479e-06 -3.369879e-05
-1.154849e-01 5.488678e+00 1.000000e+00 9.999867e-01 9.999987e-01 1.000000e+00 1.195220e+00 3 0 -3.534386e-06 4.422959e-05 2.057860e-06 4.546205e-06 -4.217173e-05
-1.225982e-01 5.737983e+00 1.000000e+00 9.999959e-01 9.999996e-01 1.000000e+00 1.195226e+00 3 0 -3.119021e-06 3.501137e-05 3.056368e-07 3.607412e-06 -3.470573e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 5.762487e+00 1.000000e+00 9.999964e-01 9.999998e-01 1.000000e+00 1.195226e+00 3 0 -7.622900e-07 1.264655e-05 6.572168e-07 7.481150e-07 -1.198933e-05
1.250000e-01 6.012252e+00 1.000000e+00 9.999989e-01 9.999999e-01 1.000000e+00 1.195228e+00 3 0 -7.966087e-07 9.803505e-06 1.365799e-07 4.619834e-07 -9.666925e-06
-1.225982e-01 5.737983e+00 1.000000e+00 9.999962e-01 9.999996e-01 1.000000e+00 1.195226e+00 3 0 -9.836308e-07 1.297718e-05 5.406960e-07 1.277587e-06 -1.243648e-05
-1.250000e-01 5.987748e+00 1.000000e+00 9.999989e-01 9.999999e-01 1.000000e+00 1.195228e+00 3 0 -8.804234e-07 1.006254e-05 6.564446e-08 9.938020e-07 -9.996899e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 6.012252e+00 1.000000e+00 9.999990e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -1.875460e-07 3.448171e-06 1.625675e-07 1.987049e-07 -3.285603e-06
1.274018e-01 6.262487e+00 1.000000e+00 9.999997e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -2.078766e-07 2.617940e-06 3.059721e-08 1.175009e-07 -2.587343e-06
-1.250000e-01 5.987748e+00 1.000000e+00 9.999990e-01 9.999999e-01 1.000000e+00 1.195228e+00 3 0 -2.514766e-07 3.558391e-06 1.325495e-07 3.338630e-07 -3.425842e-06
-1.225982e-01 6.237983e+00 1.000000e+00 9.999997e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -2.316138e-07 2.702877e-06 1.263309e-08 2.535190e-07 -2.690243e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 6.262487e+00 1.000000e+00 9.999998e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -4.161937e-08 8.773910e-07 3.741035e-08 4.914326e-08 -8.399807e-07
1.345151e-01 6.513181e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -5.049013e-08 6.524928e-07 6.345753e-09 2.750153e-08 -6.461471e-07
-1.225982e-01 6.237983e+00 1.000000e+00 9.999998e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -5.891143e-08 9.117988e-07 3.020279e-08 8.120056e-08 -8.815960e-07
-1.154849e-01 6.488678e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -5.682573e-08 6.785057e-07 2.105645e-09 5.986179e-08 -6.764000e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 6.513181e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -8.228169e-09 2.083073e-07 7.972469e-09 1.137410e-08 -2.003348e-07
1.460663e-01 6.764309e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.142160e-08 1.517676e-07 1.208397e-09 5.945593e-09 -1.505592e-07
-1.154849e-01 6.488678e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.260253e-08 2.182870e-07 6.362121e-09 1.841016e-08 -2.119249e-07
-1.039337e-01 6.739808e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 3 0 -1.301134e-08 1.591556e-07 2.777099e-10 1.308511e-08 -1.588779e-07
